at,dvc,DD,E,NegE,AC,current_ratio,debt_to_equity,roe,asset_turnover,tic,cik,fyear,mrk_eq,E_1,csho,sentiment
36.458,0,0,-7.203,1,-4.113,11.50225317,0.288951741,-0.254657946,0.030583137,CGEN,1119774,2010,110286270,-10.704,33.916,NoSentiment
29.081,0,0,-10.704,1,-4.468,13.47920328,0.48516419,-0.613043256,0,CGEN,1119774,2011,138673360,-13.628,34.708,NoSentiment
28.909,0,0,-13.628,1,0.168,18.47615607,0.635864645,-0.771163422,0.008371096,CGEN,1119774,2012,138732260,-14.083,36.59,NoSentiment
56.711,0,0,-14.083,1,-5.684,6.876340612,0.778443302,-0.441639488,0.062580452,CGEN,1119774,2013,206220540,-10.302,41.002,NoSentiment
114.986,0,0,-10.302,1,-0.381,11.39748065,0.083587772,-0.104545969,0.107552224,CGEN,1119774,2014,435682370,-20.163,50.254,NoSentiment
99.307,0,0,-20.163,1,6.923,13.27677269,0.104675351,-0.224290021,0.093417382,CGEN,1119774,2015,349720480,-31.506,50.572,NoSentiment
71.139,0,0,-31.506,1,-7.369,13.22362869,0.119964105,-0.496009068,0.010008575,CGEN,1119774,2016,327726000,-37.066,51.132,NoSentiment
38.746,0,0,-37.066,1,-3.459,5.033742331,0.322524491,-1.265180735,0,CGEN,1119774,2017,194301600,-22.599,51.293,NoSentiment
53.18,0,0,-22.599,1,-5.027,4.662929222,0.427919341,-0.606798593,0.334712298,CGEN,1119774,2018,188502600,-27.337,59.85,NoSentiment
14478.042,953.192,1,1431.331,0,-1932.03,0.987785649,2.411617611,0.325333013,0.780025089,MBT,1115837,2010,38192126160,1443.944,958.435,NoSentiment
15318.229,1026.747,1,1443.944,0,-2300.028,1.076528928,3.195365885,0.395468262,0.80418487,MBT,1115837,2011,39303194280,2036.445,994.458,NoSentiment
14979.848,881.945,1,2036.445,0,-2410.399,0.814441121,2.9124746,0.263084984,0.830158958,MBT,1115837,2012,35542320800,2322.755,994.46,NoSentiment
14818.192,1203.068,1,2322.755,0,-1752.056,1.145432298,2.053897564,0.50217931,0.820645326,MBT,1115837,2013,39137881160,889.503,994.416,NoSentiment
10784.097,873.546,1,889.503,0,-1410.639,1.106847244,2.399604749,0.289319398,0.674560327,MBT,1115837,2014,40791012360,747.79,994.456,NoSentiment
8931.677,684.334,1,747.79,0,-1293.274,1.007010002,2.880584298,0.293928395,0.660003827,MBT,1115837,2015,20209528920,854.13,994.446,NoSentiment
9010.979,856.264,1,854.13,0,-1234.401,0.713426691,2.782408381,0.336746785,0.80021294,MBT,1115837,2016,17109907920,973.45,993.45,NoSentiment
9572.086,879.287,1,973.45,0,-1594.249,0.932093519,3.436777645,0.45120585,0.803729198,MBT,1115837,2017,16746441160,911.315,956.021,NoSentiment
13190.675,704.482,1,911.315,0,-2970.772,0.910187398,10.80935801,0.08828722,0.524341324,MBT,1115837,2018,17645713060,855.683,915.371,NoSentiment
